Game Name,Genre,Platform,Mode,Style,Difficulty,Rating,Release Year,Developer,Graphics Type,Game Length,Multiplayer Type,Popularity Score
Zombie Escape 42,Strategy,Nintendo,Single Player,Tactical,Hard,8.1,2018,Capcom,Realistic,Short,Solo,96
Night Hunter 43,Sports,PC,Single Player,Tactical,Medium,6.6,2017,Rockstar,Cartoon,Medium,LAN,87
Dark Odyssey 44,Action,Mobile,Single Player,Sandbox,Easy,9.5,2018,Bethesda,Cartoon,Short,Casual,95
Pixel Warriors 45,Horror,PC,Single Player,Tactical,Easy,7.4,2020,Ubisoft,3D,Medium,LAN,71
Hero Clash 46,RPG,Xbox,Multiplayer,Tactical,Hard,8.7,2023,Epic Games,Realistic,Long,Online Co-op,73
Speed Legends 47,Sports,PC,Single Player,Battle Royale,Hard,7.5,2025,CD Projekt,Anime,Long,Solo,87
Pixel Warriors 48,Shooter,Nintendo,Multiplayer,Sandbox,Easy,8.2,2022,CD Projekt,Pixel,Short,Online Co-op,76
Hero Clash 49,Adventure,PC,Multiplayer,Story Based,Medium,8.3,2022,Bethesda,Realistic,Long,LAN,82
Zombie Escape 50,Action,PlayStation,Multiplayer,Open World,Medium,7.1,2022,Capcom,Cartoon,Long,Solo,84
Zombie Escape 51,Adventure,Xbox,Single Player,Story Based,Medium,9.7,2023,CD Projekt,3D,Short,Solo,94
Space Raiders 52,Adventure,Xbox,Single Player,Tactical,Medium,9.1,2016,Ubisoft,3D,Medium,Online Co-op,92
Battle Arena 53,Racing,Xbox,Single Player,Open World,Easy,9.6,2019,Valve,Pixel,Long,Casual,97
Night Hunter 54,Adventure,Xbox,Single Player,Battle Royale,Hard,9.5,2021,Activision,3D,Short,LAN,91
Road Fury 55,Survival,Nintendo,Multiplayer,Open World,Medium,8.5,2024,Activision,3D,Long,Competitive,95
Dark Odyssey 56,Strategy,PlayStation,Multiplayer,Tactical,Easy,9.5,2017,Nintendo,Realistic,Long,Competitive,70
Cyber Quest 57,Horror,PC,Single Player,Battle Royale,Easy,6.8,2016,EA Sports,Anime,Long,Online Co-op,80
Speed Legends 58,Shooter,PC,Single Player,Open World,Hard,7.1,2025,Rockstar,Pixel,Long,LAN,79
Speed Legends 59,Shooter,Nintendo,Single Player,Tactical,Easy,6.6,2017,Bethesda,Realistic,Short,LAN,94
Shadow Strike 60,Survival,PC,Single Player,Battle Royale,Easy,7.6,2022,Nintendo,Anime,Short,Online Co-op,74
Shadow Strike 61,Strategy,Nintendo,Single Player,Battle Royale,Easy,7.8,2018,EA Sports,Realistic,Short,LAN,85
Dark Odyssey 62,Horror,Nintendo,Single Player,Open World,Medium,7.4,2025,Capcom,Realistic,Long,Casual,80
Dark Odyssey 63,Shooter,PC,Multiplayer,Simulation,Medium,9.2,2017,Epic Games,3D,Long,Online Co-op,90
Shadow Strike 64,Strategy,Mobile,Multiplayer,Sandbox,Medium,7.7,2022,Epic Games,Anime,Long,Casual,75
Zombie Escape 65,Adventure,Mobile,Multiplayer,Simulation,Hard,7.4,2017,Rockstar,Pixel,Short,LAN,78
Pixel Warriors 66,Strategy,Mobile,Multiplayer,Story Based,Easy,8.3,2018,CD Projekt,Pixel,Long,Online Co-op,82
Cyber Quest 67,Survival,Nintendo,Single Player,Tactical,Medium,7.0,2022,Ubisoft,Anime,Medium,LAN,93
Battle Arena 68,RPG,PlayStation,Multiplayer,Simulation,Easy,9.1,2019,Nintendo,3D,Long,Online Co-op,77
Mystic World 69,RPG,PC,Single Player,Story Based,Medium,6.7,2016,Nintendo,Cartoon,Medium,LAN,83
Road Fury 70,RPG,PlayStation,Single Player,Sandbox,Easy,9.8,2020,Bethesda,Realistic,Long,Casual,93
Fantasy Kings 71,Simulation,PC,Multiplayer,Open World,Easy,9.0,2024,Bethesda,3D,Short,Casual,70
Mystic World 72,Strategy,Xbox,Multiplayer,Tactical,Easy,7.2,2023,Epic Games,Anime,Long,LAN,86
Road Fury 73,Strategy,Mobile,Multiplayer,Battle Royale,Easy,6.5,2024,Epic Games,Realistic,Medium,Online Co-op,93
Cyber Quest 74,Adventure,PlayStation,Single Player,Tactical,Hard,9.2,2025,Valve,Pixel,Medium,Competitive,74
Shadow Strike 75,RPG,Xbox,Single Player,Simulation,Easy,8.8,2024,Valve,Cartoon,Long,Casual,94
Dragon Realm 76,Strategy,Nintendo,Single Player,Battle Royale,Medium,8.9,2022,CD Projekt,Pixel,Medium,Casual,71
Survival Zone 77,Racing,PlayStation,Multiplayer,Story Based,Medium,9.0,2019,Valve,Anime,Medium,Competitive,94
Night Hunter 78,Adventure,Xbox,Multiplayer,Open World,Hard,6.7,2020,Ubisoft,Realistic,Short,LAN,97
Hero Clash 79,Adventure,Xbox,Single Player,Sandbox,Medium,7.7,2016,Ubisoft,Anime,Long,Online Co-op,99
Dark Odyssey 80,Racing,Nintendo,Single Player,Battle Royale,Medium,6.9,2016,Nintendo,Realistic,Long,LAN,93
Dragon Realm 81,Shooter,Mobile,Multiplayer,Open World,Hard,9.3,2018,Activision,3D,Long,Solo,78
Battle Arena 82,Action,Xbox,Multiplayer,Sandbox,Easy,8.6,2023,Ubisoft,Cartoon,Medium,Casual,73
Cyber Quest 83,Shooter,PC,Multiplayer,Battle Royale,Medium,7.6,2017,EA Sports,3D,Long,Solo,86
Hero Clash 84,Action,PlayStation,Single Player,Battle Royale,Hard,6.7,2019,Epic Games,3D,Long,Casual,86
Mystic World 85,Sports,PlayStation,Single Player,Open World,Hard,7.5,2017,Bethesda,Anime,Short,Casual,90
Space Raiders 86,Strategy,Mobile,Multiplayer,Simulation,Easy,7.6,2020,Valve,Cartoon,Short,Solo,87
Space Raiders 87,Adventure,PC,Multiplayer,Sandbox,Medium,8.9,2024,Nintendo,Realistic,Short,Solo,85
Shadow Strike 88,Horror,PlayStation,Multiplayer,Tactical,Medium,8.6,2016,Rockstar,Realistic,Medium,LAN,99
Cyber Quest 89,Adventure,Xbox,Multiplayer,Tactical,Easy,9.4,2020,Bethesda,Pixel,Long,Solo,77
Space Raiders 90,Strategy,PlayStation,Single Player,Simulation,Hard,8.1,2024,EA Sports,Realistic,Short,LAN,95
Dragon Realm 91,Horror,Nintendo,Single Player,Battle Royale,Hard,6.9,2016,Valve,Anime,Short,LAN,80
Hero Clash 92,Adventure,PlayStation,Multiplayer,Sandbox,Hard,8.9,2024,EA Sports,3D,Short,LAN,90
Pixel Warriors 93,Action,PlayStation,Multiplayer,Sandbox,Medium,9.0,2023,Epic Games,3D,Long,Casual,90
Dark Odyssey 94,Adventure,PC,Multiplayer,Battle Royale,Medium,8.4,2019,Epic Games,3D,Long,Casual,87
Pixel Warriors 95,Adventure,Xbox,Multiplayer,Open World,Medium,9.0,2025,CD Projekt,Cartoon,Long,Solo,92
Fantasy Kings 96,Horror,Mobile,Single Player,Story Based,Medium,8.1,2020,Nintendo,Realistic,Medium,Casual,98
Speed Legends 97,Survival,Xbox,Single Player,Tactical,Hard,8.2,2020,Bethesda,Anime,Medium,Solo,93
Mystic World 98,Horror,Nintendo,Multiplayer,Tactical,Easy,7.9,2021,Capcom,Cartoon,Short,Casual,79
Space Raiders 99,Adventure,PC,Single Player,Tactical,Medium,6.6,2022,Capcom,Pixel,Long,Online Co-op,82
Survival Zone 100,Adventure,PlayStation,Multiplayer,Open World,Hard,6.9,2023,Bethesda,Anime,Short,Online Co-op,86
Space Raiders 101,Simulation,PlayStation,Multiplayer,Story Based,Hard,6.6,2023,Rockstar,Anime,Long,Solo,87
Cyber Quest 102,Action,PlayStation,Single Player,Open World,Easy,8.6,2017,Nintendo,Anime,Long,Casual,79
Cyber Quest 103,Racing,PC,Single Player,Sandbox,Hard,7.5,2024,EA Sports,3D,Long,Casual,85
Shadow Strike 104,Sports,Nintendo,Multiplayer,Tactical,Hard,8.2,2022,Rockstar,Anime,Medium,LAN,89
Road Fury 105,Horror,PC,Single Player,Story Based,Medium,9.5,2019,Activision,Realistic,Medium,Competitive,74
Shadow Strike 106,Racing,Mobile,Multiplayer,Tactical,Medium,7.3,2019,Bethesda,Anime,Long,Solo,82
Cyber Quest 107,Strategy,PlayStation,Single Player,Story Based,Easy,7.9,2023,EA Sports,3D,Short,Competitive,87
Pixel Warriors 108,Shooter,Mobile,Single Player,Story Based,Hard,9.0,2019,Capcom,Anime,Long,Competitive,86
Night Hunter 109,Racing,PC,Single Player,Battle Royale,Easy,7.3,2021,Ubisoft,Pixel,Long,Solo,78
Road Fury 110,Strategy,Xbox,Single Player,Battle Royale,Medium,6.8,2020,CD Projekt,Pixel,Short,Casual,83
Cyber Quest 111,Action,Xbox,Single Player,Sandbox,Easy,7.5,2018,Capcom,3D,Long,Solo,86
Road Fury 112,Strategy,PC,Single Player,Battle Royale,Medium,7.0,2025,Nintendo,Realistic,Short,Competitive,98
Mystic World 113,Horror,Xbox,Single Player,Simulation,Easy,9.6,2017,Epic Games,Realistic,Medium,Casual,73
Zombie Escape 114,Horror,PlayStation,Single Player,Story Based,Medium,9.2,2024,Ubisoft,Cartoon,Medium,Online Co-op,87
Zombie Escape 115,Sports,Xbox,Multiplayer,Simulation,Hard,8.6,2025,CD Projekt,3D,Short,Solo,96
Battle Arena 116,Horror,Nintendo,Single Player,Battle Royale,Easy,9.4,2024,CD Projekt,Anime,Medium,Solo,89
Cyber Quest 117,Strategy,Xbox,Single Player,Simulation,Medium,9.2,2016,Activision,3D,Medium,Casual,93
Fantasy Kings 118,Sports,Mobile,Multiplayer,Tactical,Medium,7.1,2025,Activision,Cartoon,Short,Online Co-op,93
Pixel Warriors 119,Horror,Mobile,Single Player,Open World,Hard,9.4,2018,Valve,3D,Medium,Online Co-op,84
Epic Champions 120,Simulation,PC,Multiplayer,Simulation,Easy,8.3,2023,Capcom,3D,Long,Casual,80
Dragon Realm 121,Sports,PC,Multiplayer,Battle Royale,Easy,9.2,2021,Capcom,Cartoon,Long,LAN,81
Epic Champions 122,Racing,Mobile,Multiplayer,Battle Royale,Easy,9.5,2020,Capcom,Realistic,Short,Solo,78
Pixel Warriors 123,Sports,PC,Multiplayer,Open World,Hard,7.5,2020,Valve,Anime,Medium,Solo,82
Epic Champions 124,Adventure,PlayStation,Single Player,Open World,Hard,6.9,2021,Rockstar,Cartoon,Long,Competitive,84
Space Raiders 125,Simulation,Nintendo,Multiplayer,Story Based,Medium,7.3,2022,CD Projekt,Pixel,Long,Casual,96
Epic Champions 126,Horror,PC,Single Player,Battle Royale,Medium,7.9,2016,Ubisoft,Realistic,Medium,Competitive,84
Pixel Warriors 127,Sports,Xbox,Multiplayer,Battle Royale,Easy,9.2,2024,Nintendo,Pixel,Medium,Competitive,97
Fantasy Kings 128,Action,PC,Single Player,Story Based,Easy,9.3,2018,CD Projekt,Realistic,Long,Online Co-op,74
Epic Champions 129,Horror,Nintendo,Single Player,Story Based,Hard,6.5,2019,Activision,Anime,Long,Solo,92
Pixel Warriors 130,Racing,Xbox,Single Player,Simulation,Medium,8.2,2025,EA Sports,Anime,Short,Competitive,88
Dragon Realm 131,Survival,PC,Single Player,Open World,Medium,7.9,2016,Epic Games,3D,Short,Online Co-op,95
Zombie Escape 132,Strategy,Xbox,Multiplayer,Battle Royale,Easy,7.2,2025,Valve,Pixel,Long,Casual,89
Mystic World 133,Survival,PlayStation,Single Player,Open World,Hard,6.9,2018,Bethesda,Realistic,Short,Competitive,95
Pixel Warriors 134,Adventure,PlayStation,Multiplayer,Tactical,Hard,7.6,2017,EA Sports,Anime,Long,Solo,94
Hero Clash 135,Racing,Xbox,Single Player,Story Based,Easy,9.6,2017,Nintendo,Cartoon,Long,Competitive,95
Hero Clash 136,Action,Mobile,Multiplayer,Open World,Hard,7.6,2016,Capcom,Anime,Short,Casual,95
Pixel Warriors 137,Simulation,PC,Single Player,Open World,Easy,8.2,2023,Activision,Cartoon,Short,Competitive,83
Pixel Warriors 138,Horror,PlayStation,Multiplayer,Story Based,Hard,8.8,2018,Activision,Realistic,Medium,Solo,97
Night Hunter 139,Simulation,Xbox,Multiplayer,Tactical,Hard,7.7,2018,Activision,Anime,Medium,Online Co-op,86
Shadow Strike 140,Racing,Mobile,Multiplayer,Sandbox,Hard,9.7,2021,Capcom,Anime,Medium,Solo,87
Fantasy Kings 141,Survival,Xbox,Single Player,Open World,Medium,9.7,2023,Bethesda,Realistic,Long,Online Co-op,90
Cyber Quest 142,Shooter,PC,Multiplayer,Simulation,Easy,7.3,2024,Valve,Anime,Short,LAN,72
Dragon Realm 143,Sports,Mobile,Single Player,Story Based,Easy,8.1,2024,EA Sports,Cartoon,Long,Solo,71
Fantasy Kings 144,Sports,Xbox,Multiplayer,Simulation,Hard,7.5,2019,Capcom,Anime,Short,Solo,70
Mystic World 145,Racing,Nintendo,Single Player,Tactical,Medium,7.4,2020,Nintendo,Pixel,Long,Casual,79
Shadow Strike 146,Adventure,PlayStation,Multiplayer,Tactical,Hard,6.6,2017,Valve,3D,Medium,Competitive,88
Speed Legends 147,Survival,Xbox,Single Player,Tactical,Medium,8.5,2024,Nintendo,Cartoon,Medium,Online Co-op,86
Hero Clash 148,Sports,Nintendo,Multiplayer,Sandbox,Medium,8.2,2023,Valve,Pixel,Medium,Online Co-op,81
Zombie Escape 149,Simulation,Nintendo,Single Player,Battle Royale,Medium,6.7,2018,Bethesda,Realistic,Long,Casual,70
Epic Champions 150,Action,Mobile,Single Player,Story Based,Medium,7.4,2024,Epic Games,Cartoon,Short,Casual,81
Battle Arena 151,Shooter,Mobile,Single Player,Story Based,Hard,9.5,2018,Nintendo,3D,Short,Competitive,86
Shadow Strike 152,Survival,PlayStation,Single Player,Simulation,Medium,7.3,2024,Capcom,3D,Medium,Competitive,93
Dark Odyssey 153,Shooter,Nintendo,Single Player,Open World,Hard,7.0,2017,Valve,Realistic,Medium,Solo,72
Cyber Quest 154,Sports,Nintendo,Single Player,Tactical,Hard,8.1,2025,Activision,Realistic,Medium,LAN,80
Road Fury 155,Racing,Mobile,Multiplayer,Simulation,Hard,9.8,2024,CD Projekt,Cartoon,Medium,Competitive,86
Shadow Strike 156,Horror,PC,Single Player,Battle Royale,Hard,7.3,2023,Activision,Anime,Short,Casual,92
Night Hunter 157,Survival,Mobile,Single Player,Story Based,Easy,8.7,2024,Rockstar,Realistic,Long,Competitive,95
Survival Zone 158,Survival,PC,Single Player,Open World,Easy,9.0,2020,Epic Games,Anime,Long,Online Co-op,72
Shadow Strike 159,Racing,Xbox,Multiplayer,Story Based,Hard,7.3,2017,Epic Games,Pixel,Long,LAN,77
Shadow Strike 160,RPG,Mobile,Multiplayer,Story Based,Medium,8.9,2023,Activision,3D,Long,Solo,89
Mystic World 161,RPG,PlayStation,Multiplayer,Story Based,Hard,7.7,2021,EA Sports,Anime,Medium,Online Co-op,73
Survival Zone 162,Survival,Xbox,Multiplayer,Tactical,Medium,8.6,2023,Bethesda,3D,Medium,Online Co-op,90
Mystic World 163,Horror,Xbox,Single Player,Story Based,Easy,8.6,2020,Nintendo,Anime,Medium,LAN,91
Road Fury 164,Shooter,Xbox,Multiplayer,Story Based,Easy,8.3,2025,Capcom,Pixel,Long,Solo,76
Shadow Strike 165,Strategy,Mobile,Multiplayer,Tactical,Hard,6.8,2017,Epic Games,Realistic,Medium,Casual,83
Dark Odyssey 166,Strategy,PC,Single Player,Sandbox,Medium,9.3,2021,Activision,Pixel,Medium,Solo,83
Battle Arena 167,Horror,PlayStation,Single Player,Sandbox,Easy,7.6,2020,Activision,Realistic,Short,Competitive,73
Zombie Escape 168,Horror,Mobile,Single Player,Tactical,Easy,7.1,2020,Bethesda,Realistic,Short,Online Co-op,85
Fantasy Kings 169,Horror,Mobile,Multiplayer,Simulation,Easy,6.6,2016,Bethesda,3D,Medium,Competitive,93
Shadow Strike 170,Racing,Mobile,Single Player,Battle Royale,Easy,8.4,2017,Ubisoft,Pixel,Short,Casual,98
Battle Arena 171,Strategy,Nintendo,Single Player,Simulation,Hard,8.7,2023,Ubisoft,Anime,Short,Competitive,91
Hero Clash 172,Action,PC,Single Player,Sandbox,Easy,6.6,2018,EA Sports,Pixel,Medium,Solo,99
Mystic World 173,Survival,Nintendo,Multiplayer,Sandbox,Hard,8.2,2025,EA Sports,3D,Medium,Competitive,70
Battle Arena 174,Horror,PC,Single Player,Tactical,Easy,7.2,2018,Rockstar,Realistic,Medium,Casual,86
Dark Odyssey 175,RPG,Xbox,Multiplayer,Tactical,Medium,8.6,2023,EA Sports,3D,Medium,Casual,94
Battle Arena 176,RPG,Xbox,Single Player,Sandbox,Medium,7.1,2023,Valve,Cartoon,Long,Casual,79
Pixel Warriors 177,Simulation,PC,Multiplayer,Sandbox,Medium,8.8,2017,Bethesda,Cartoon,Long,Solo,91
Zombie Escape 178,Racing,PC,Multiplayer,Simulation,Hard,7.8,2023,Capcom,Anime,Medium,Casual,85
Fantasy Kings 179,Simulation,Nintendo,Multiplayer,Battle Royale,Hard,9.6,2016,Valve,3D,Short,Online Co-op,85
Hero Clash 180,Racing,Nintendo,Multiplayer,Open World,Medium,7.0,2021,Nintendo,Anime,Medium,Casual,95
Epic Champions 181,Strategy,Nintendo,Single Player,Tactical,Hard,7.6,2023,Activision,Anime,Medium,Competitive,77
Fantasy Kings 182,Strategy,Mobile,Single Player,Story Based,Easy,6.9,2018,EA Sports,Cartoon,Short,Competitive,98
Epic Champions 183,RPG,Nintendo,Multiplayer,Battle Royale,Hard,9.6,2023,Activision,Anime,Long,Competitive,76
Space Raiders 184,Action,Nintendo,Multiplayer,Simulation,Medium,9.4,2016,Epic Games,Cartoon,Medium,Solo,97
Hero Clash 185,Simulation,Nintendo,Single Player,Open World,Medium,7.4,2024,Rockstar,Realistic,Medium,Competitive,75
Dragon Realm 186,Strategy,PC,Multiplayer,Battle Royale,Easy,8.7,2024,Epic Games,3D,Long,Solo,85
Night Hunter 187,Shooter,Xbox,Single Player,Sandbox,Hard,9.2,2020,Rockstar,Anime,Long,Solo,89
Night Hunter 188,Survival,Nintendo,Single Player,Simulation,Medium,8.3,2025,Ubisoft,Cartoon,Short,Casual,85
Hero Clash 189,Shooter,PC,Multiplayer,Sandbox,Hard,8.2,2019,Activision,Pixel,Long,Online Co-op,76
Mystic World 190,Racing,PlayStation,Multiplayer,Simulation,Easy,7.3,2021,Rockstar,Anime,Long,Casual,78
Road Fury 191,Sports,PC,Single Player,Sandbox,Hard,6.8,2022,CD Projekt,Realistic,Long,Casual,83
Speed Legends 192,Simulation,PlayStation,Single Player,Simulation,Hard,9.5,2020,Valve,Realistic,Short,Solo,80
Speed Legends 193,Shooter,Xbox,Multiplayer,Open World,Medium,9.5,2025,Rockstar,Pixel,Long,Solo,95
Shadow Strike 194,Simulation,PlayStation,Single Player,Tactical,Hard,8.6,2024,Rockstar,Cartoon,Long,Competitive,95
Survival Zone 195,RPG,Nintendo,Multiplayer,Tactical,Medium,7.6,2018,Valve,Anime,Short,Competitive,83
Dragon Realm 196,Strategy,Nintendo,Single Player,Open World,Hard,7.7,2022,Activision,Cartoon,Long,Casual,76
Pixel Warriors 197,Simulation,PlayStation,Single Player,Simulation,Medium,8.9,2025,Activision,Realistic,Long,LAN,70
Dragon Realm 198,Racing,PlayStation,Multiplayer,Story Based,Easy,9.5,2025,Valve,Cartoon,Short,LAN,95
Night Hunter 199,Simulation,Nintendo,Single Player,Open World,Easy,9.4,2020,Epic Games,Realistic,Medium,Competitive,94
Battle Arena 200,Survival,PC,Single Player,Open World,Hard,9.1,2022,CD Projekt,Cartoon,Short,LAN,82
Mystic World 201,Action,PlayStation,Multiplayer,Sandbox,Medium,8.6,2017,Capcom,Pixel,Long,Competitive,89
Epic Champions 202,Horror,Mobile,Single Player,Simulation,Medium,6.8,2019,Nintendo,3D,Long,Solo,72
Night Hunter 203,Horror,PlayStation,Multiplayer,Sandbox,Medium,7.0,2017,CD Projekt,Pixel,Long,Casual,89
Pixel Warriors 204,Sports,Mobile,Multiplayer,Story Based,Medium,9.5,2022,Activision,Pixel,Short,Online Co-op,73
Survival Zone 205,Strategy,Nintendo,Multiplayer,Battle Royale,Medium,8.5,2017,Capcom,3D,Long,Casual,98
Pixel Warriors 206,Horror,Mobile,Multiplayer,Tactical,Hard,6.5,2016,Ubisoft,3D,Long,Competitive,95
Zombie Escape 207,Sports,Mobile,Single Player,Open World,Easy,6.8,2024,EA Sports,Anime,Short,Competitive,80
Hero Clash 208,RPG,Mobile,Multiplayer,Story Based,Hard,8.7,2016,Rockstar,Anime,Medium,Casual,71
Hero Clash 209,Racing,Nintendo,Multiplayer,Tactical,Easy,6.5,2023,Valve,Pixel,Medium,Competitive,83
Hero Clash 210,Strategy,PlayStation,Single Player,Sandbox,Hard,7.0,2017,Valve,Pixel,Long,LAN,81
Epic Champions 211,Shooter,PC,Multiplayer,Simulation,Medium,8.3,2023,Rockstar,Realistic,Short,LAN,99
Cyber Quest 212,Racing,Xbox,Single Player,Sandbox,Hard,8.8,2018,EA Sports,Realistic,Long,Competitive,86
Dark Odyssey 213,Sports,Nintendo,Single Player,Open World,Medium,8.7,2021,Nintendo,Anime,Short,Competitive,81
Road Fury 214,Simulation,PC,Single Player,Simulation,Hard,7.2,2018,EA Sports,Anime,Short,LAN,95
Dark Odyssey 215,Action,Xbox,Single Player,Tactical,Easy,8.9,2022,Capcom,Realistic,Medium,Competitive,81
Hero Clash 216,Horror,PC,Single Player,Sandbox,Medium,7.3,2025,EA Sports,Realistic,Medium,Competitive,70
Dark Odyssey 217,Shooter,Nintendo,Single Player,Simulation,Medium,7.6,2024,Capcom,Cartoon,Short,Casual,82
Cyber Quest 218,Action,PlayStation,Single Player,Story Based,Medium,9.0,2017,EA Sports,Cartoon,Long,Online Co-op,83
Survival Zone 219,Shooter,Nintendo,Single Player,Simulation,Hard,8.6,2020,Nintendo,Realistic,Medium,LAN,93
Battle Arena 220,Horror,Mobile,Multiplayer,Sandbox,Easy,9.3,2021,Nintendo,Cartoon,Long,Casual,99
Fantasy Kings 221,Shooter,Nintendo,Single Player,Battle Royale,Easy,8.7,2019,Activision,3D,Medium,Online Co-op,71
Dark Odyssey 222,RPG,Mobile,Multiplayer,Battle Royale,Easy,8.4,2019,Rockstar,Anime,Medium,Competitive,81
Space Raiders 223,Adventure,PC,Multiplayer,Battle Royale,Medium,6.8,2019,Nintendo,Anime,Long,Competitive,95
Hero Clash 224,Shooter,Xbox,Single Player,Open World,Easy,7.7,2017,Capcom,Realistic,Medium,Casual,90
Dragon Realm 225,Racing,Nintendo,Multiplayer,Open World,Medium,7.4,2019,Nintendo,Pixel,Medium,Competitive,97
